,year,Population,Population growth,Surface area,GNI per capita_Atlas method,GNI per capita_PPP,Life expectancy at birth_total,Fertility rate_total ,Adolescent fertility rate ,Contraceptive prevalence_ any methods,Births attended by skilled health staff,Mortality rate_under-5 ,Prevalence of underweight_weight for age,Immunization_measles ,School enrollment_secondary ,School enrollment_primary and secondary,Forest area,Water productivity_total,Improved water source ,Improved sanitation facilities,Energy use ,CO2 emissions (metric tons per capita),Electric power consumption (kWh per capita),GDP growth (annual %),Inflation_GDP deflator (annual %),Agriculture_value added (% of GDP),Industry_value added (% of GDP),Services_value added (% of GDP),Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Gross capital formation (% of GDP),Revenue_excluding grants (% of GDP),Market capitalization of listed domestic companies (% of GDP),Military expenditure (% of GDP),Mobile cellular subscriptions (per 100 people),High-technology exports (% of manufactured exports),Merchandise trade (% of GDP),Net barter terms of trade index (2000 = 100),Net migration,GDP per capita (current US$),Inflation_consumer prices (annual %)
0,97.17402082300445,55.91322085903592,100.0,0.0,0.0,0.0,88.60735969143707,100.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.85791972153264,71.07670102710044,29.550613741852032,0.0,0.0,0.0,0.0,0.0,36.41537714008871,24.080872620521827,89.84074120709286,0.0,0.0,95.39665517357426,0.0,0.0,28.1790707727118,0.0,0.0,5.217244083567069,11.176904549332907
1,97.22359940505702,56.84783641435076,97.3993579409885,97.94110975831791,0.0,0.0,89.2423491599418,99.06951286261632,97.3494832162961,0.0,0.0,98.00664451827242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.50641657894343,69.66170590098373,30.51663313462125,31.684425506824955,14.461426268953915,0.0,0.0,0.0,35.90294582902682,23.12401191285139,89.62425694187357,0.0,0.0,96.93244907676046,0.0,0.0,27.183642051829835,0.0,0.0,5.320369209244986,7.958786122047185
2,97.27317798710958,57.728912734212145,90.36450558332777,97.94110975831791,5.773631402922021,0.0,89.0503035673769,94.71811713191025,94.6989664325922,0.0,0.0,96.01328903654485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.43221711865614,71.13959740142892,32.35127946542502,84.03260677897055,13.331215924861272,0.0,0.0,0.0,35.23924450774509,23.70772790526022,92.00043459347262,0.0,0.0,98.8678280077582,0.0,0.0,27.034564531732176,0.0,21.240806802170997,5.627943586704168,8.261461502180909
3,97.32275656916212,58.565734079103315,84.55763041114245,97.94110975831791,6.002464354867101,0.0,88.79321026324827,90.831964969896,91.720400248508,0.0,0.0,94.01993355481727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.94688295132266,73.22228299033331,34.225691452477186,60.613683578273836,11.65764443362193,0.0,0.0,0.0,35.68553629158137,23.452474457948732,92.2947788235966,0.0,0.0,93.52756212219188,0.0,0.0,27.24419612951777,0.0,0.0,5.854654666764791,8.98730293375561
4,97.37233515121467,59.38491532907629,81.61292302593597,97.94110975831791,6.354515050167224,0.0,89.10915624548717,87.3015873015873,88.74183406442381,0.0,0.0,92.0265780730897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.7262987321268,75.37840861692544,36.26851407282212,79.89985562590641,16.10861757703858,0.0,0.0,0.0,37.396530897491715,23.511802099472398,92.16444225476471,0.0,0.0,85.2886219527788,0.0,0.0,28.361042430207178,0.0,0.0,6.20065116829879,9.686721268525623
5,97.42191373326723,60.13198882262929,73.45340490831002,97.94110975831791,6.82978348882239,0.0,89.17110644032415,79.7208538587849,85.76326788033963,0.0,0.0,90.03322259136213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.75217934531952,77.52676118820567,38.196618420996806,88.16535793203467,20.563151724602477,0.0,0.0,0.0,36.554166114634036,24.30467682621879,95.17703894943168,0.0,0.0,79.59149276811708,0.0,0.0,28.256956066966655,0.0,0.0,6.640613042521792,12.350395830772966
6,97.47149231531978,60.83047468631989,67.85535206768978,97.94110975831791,7.375462066537581,0.0,89.16800892359743,74.46633825944171,82.78470169625542,0.0,0.0,87.70764119601327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.11123144811111,80.50024164346212,40.79172760752949,89.5429416497227,31.048662065949216,0.0,0.0,0.0,36.77277904639858,26.121215331832293,96.7832701239813,0.0,0.0,89.087470317043,0.0,0.0,29.575124512979112,0.0,0.0,7.193700686251393,22.14019199960743
7,97.52107089737233,61.49646563831907,63.97684066082262,97.94110975831791,7.6923076923076925,0.0,89.61095279953726,70.00547345374932,79.80613551217125,0.0,0.0,85.38205980066445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.70034604724063,82.62033283987756,42.96623597734452,34.43959294220104,33.75318498083632,0.0,0.0,0.0,36.990816447802864,26.57014235139964,92.69503436653007,0.0,0.0,100.0,0.0,0.0,29.04530127510817,0.0,17.991775268071315,7.5235341576902535,20.546006328927103
8,97.57064947942489,62.11355948510643,58.66423509504707,97.94110975831791,8.343601478612921,0.0,88.83657539582424,67.43295019157088,78.20707118248396,0.0,0.0,82.72425249169434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.82485269374861,84.80184585968324,46.593625660268,66.124018449026,46.77671999982441,0.0,0.0,0.0,37.24044891473618,28.371456801086147,91.47574268710302,0.0,0.0,97.83014872774567,0.0,0.0,30.79206758674423,0.0,0.0,8.147247351650279,31.2207082489536
9,97.62022806147745,62.72353539885661,57.41756517454364,97.94110975831791,8.924485125858125,0.0,89.54280758394658,67.21401204159825,76.60800685279665,0.0,0.0,80.06644518272425,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.89284548382567,88.21604676999972,50.383414058006274,42.70509524832929,53.11010495734968,0.0,0.0,0.0,37.28812270536781,28.412592643214307,94.77780296320289,0.0,0.0,91.20203567885571,0.0,0.0,31.06334925270322,0.0,0.0,8.730578530696095,40.081072172369716
